Tipo,Descripcion_alimento,Type_EN,Food_description_EN,Nombre_cientifico,Porcion_comestible_pct,Energia_kJ,Energia_kcal,Humedad_g,Cenizas_g,Extracto_etereo_g,AGS_g,AGMI_g,AGPI_g,Colesterol_mg,Proteina_bruta_g,Hidratos_carbono_g,Azucares_g,Fibra_bruta_g,Fibra_DT_g,Fibra_D_Insol_g,Ca_mg,P_mg,Fe_mg,Na_mg,K_mg,Mg_mg,Cu_mg,Zn_mg,Mn_mg,Se_mg,Li_mg,VitA_UI,VitA_ug_RAE,Carotenos_mg,Bcarotenos_mg,VitB1_mg,VitB2_mg,Niacina_mg,Ac_ascorbico_mg,VitB6_mg,VitB12_ug,Acido_folico_ug,Folato_ug_DFE,VitD_ug
VERDURAS,"Chile Ancho, cocido",VEGETABLES,"Chile Ancho, cooked",Caicm annm L rom ent,0.68,*,*,*,*,*,*,*,*,*,*,*,*,*,29.00,20.60,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,"Chile Ancho Negro, seco",VEGETABLES,"Chile Ancho Black, dried",Caicm annm L rom ent,0.68,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.92,1.58,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,"Chile Ancho Rojo, seco",VEGETABLES,"Chile Ancho Red, dried",Caicm annm L rom ent,0.68,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1.21,2.13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,Cie Anco emia,VEGETABLES,"Chile Ancho, seed",Caicm annm L rom ent,0.68,*,*,6.90,3.70,18.40,*,*,*,*,17.30,*,*,34.40,*,*,32.00,446.00,7.30,*,*,*,*,*,*,*,*,*,*,*,0.20,0.12,0.15,9.27,20.60,*,*,*,*,*
VERDURAS,Chile Bravo o Habanero,VEGETABLES,Chile Habanero,Caicm,0.84,104.00,25.00,91.00,0.70,0.83,*,*,*,*,2.25,3.62,*,1.60,*,*,18.00,26.00,2.44,*,*,*,*,*,*,*,*,*,*,*,0.53,0.11,0.16,0.71,94.00,*,*,*,*,*
VERDURAS,Chile Carricillo,VEGETABLES,Chile Carricillo,Caicm annm L,0.84,96.00,23.00,90.30,1.00,0.33,*,*,*,*,1.37,4.69,*,2.04,*,*,30.00,39.00,1.78,*,*,*,*,*,*,*,*,*,*,*,0.04,0.10,0.06,0.92,129.20,*,*,*,*,*
VERDURAS,Chile Cascabel,VEGETABLES,Chile Cascabel,Caicm annm L Ceraiorme Mi,0.84,877.00,210.00,10.56,7.40,5.46,*,*,*,*,13.09,35.72,*,28.02,*,*,75.00,193.50,4.70,*,*,*,*,*,*,*,*,*,*,*,15.44,0.14,0.54,8.95,55.00,*,*,*,*,*
VERDURAS,"Chile Cascabel, seco",VEGETABLES,"Chile Cascabel, dried",Caicm annm L Ceraiorme Mi,0.84,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1.12,2.08,*,*,*,4865.13,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,Cie Cacabe emia,VEGETABLES,"Chile Cascabel, seed",Caicm annm L Ceraiorme Mi,0.84,1079.00,258.00,7.40,3.45,18.00,*,*,*,*,16.13,18.45,*,35.00,*,*,57.00,466.50,7.07,*,*,*,*,*,*,*,*,*,*,*,0.40,0.91,0.18,11.80,44.10,*,*,*,*,*
VERDURAS,Chile Chilaca,VEGETABLES,Chile Chilaca,Caicm annm L,0.84,134.00,32.00,89.40,0.60,0.27,*,*,*,*,1.50,7.35,*,0.88,*,*,40.00,23.00,4.00,*,*,*,*,*,*,0.04,*,*,*,*,1.75,0.08,0.06,1.00,178.20,*,*,*,*,*
VERDURAS,"Chile Chilaca, cocido",VEGETABLES,"Chile Chilaca, cooked",Caicm annm L,0.84,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1.02,2.84,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,"Chile Chipotle, seco",VEGETABLES,"Chile Chipotle, dried",Caicm annm L ce ort,0.84,1079.00,258.00,15.30,6.75,6.30,*,*,*,*,14.15,46.70,*,9.60,*,*,195.00,244.00,6.10,*,*,*,1.17,1.30,*,*,1318.68,*,*,*,1.21,0.29,0.72,14.87,24.20,*,*,*,*,*
VERDURAS,"Chile Chipotle, adobado con emia",VEGETABLES,Cie Ciote marinate it ee,Caicm annm L ce ort,1.00,274.00,66.00,84.50,3.63,5.73,*,*,*,*,1.39,3.95,*,2.94,*,*,40.50,28.00,2.09,*,*,*,*,*,*,*,*,*,*,*,1.52,0.03,0.07,0.89,3.35,*,*,*,*,*
VERDURAS,"Chile Chipotle, enlatado",VEGETABLES,"Chile Chipotle, canned",Caicm annm L ce ort,0.84,*,*,*,*,*,*,*,*,*,*,*,*,*,4.50,3.70,*,*,*,*,*,*,0.73,2.30,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,Cie Ciote emia,VEGETABLES,"Chile Chipotle, seed",Caicm annm L ce ort,0.84,1280.00,306.00,8.10,3.65,20.00,*,*,*,*,18.06,26.65,*,24.20,*,*,68.00,461.00,6.20,*,*,*,*,*,*,*,*,*,*,*,0.26,0.16,0.38,9.36,38.65,*,*,*,*,*
VERDURAS,"Chile, con vegetales en vinagre",VEGETABLES,"Chile, peppers chile and vegetables in brine",,,103.20,24.30,92.80,1.30,0.30,*,*,*,*,0.90,4.50,*,0.80,*,*,5.09,0.00,0.00,300.26,70.60,7.17,0.00,0.15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,Chile Cristal o Cristalino,VEGETABLES,Chile Cristal,Caicm,0.84,134.00,32.00,87.85,0.75,0.70,*,*,*,*,1.70,6.81,*,2.44,*,*,21.00,39.00,3.30,*,*,*,*,*,*,*,*,46.62,*,*,0.12,0.12,0.06,0.96,252.00,*,*,*,*,*
VERDURAS,Chile del Monte Ciio,VEGETABLES,Cie Montain Ciio,Caicm rtencen L,0.80,422.00,101.00,58.40,0.70,3.76,*,*,*,*,3.50,17.04,*,16.60,*,*,64.00,88.00,2.12,*,*,*,*,*,*,*,*,*,*,*,0.37,0.92,0.10,3.86,20.40,*,*,*,*,*
VERDURAS,Chile Dulce,VEGETABLES,Cie Seet,Caicm,0.84,96.00,23.00,90.80,0.50,0.26,*,*,*,*,1.94,4.63,*,1.87,*,*,16.00,34.00,2.88,*,*,*,*,*,*,*,*,*,156.00,*,0.56,0.15,0.05,1.12,74.00,*,*,*,*,*
VERDURAS,Chile Guajillo,VEGETABLES,Chile Guajillo,Caicm annm L onm Sent,0.84,979.00,234.00,16.50,6.65,8.60,*,*,*,*,11.55,36.90,*,20.40,*,*,115.50,180.00,14.46,*,*,*,*,*,*,*,*,*,*,*,14.67,0.20,0.94,4.81,65.60,*,*,*,*,*
VERDURAS,"Chile Guajillo, seco",VEGETABLES,"Chile Guajillo, dried",Caicm annm L onm Sent,0.84,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8498.16,,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,"Chile Guajillo, seco cocido",VEGETABLES,"Chile Guajillo, dried cooked",Caicm annm L onm Sent,0.84,*,*,*,*,*,*,*,*,*,*,*,*,*,45.00,42.30,*,*,*,*,*,*,0.64,1.58,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,Cie Gaio emia,VEGETABLES,"Chile Guajillo, seed",Caicm annm L onm Sent,0.84,1218.00,291.00,6.60,3.20,21.10,*,*,*,*,16.09,21.15,*,31.10,*,*,58.50,495.00,7.10,*,*,*,*,*,*,*,*,*,*,*,0.45,0.19,0.25,10.15,34.40,*,*,*,*,*
VERDURAS,Cie aaeo,VEGETABLES,Cie aaeo,Caicm annm L,0.87,92.00,22.00,92.30,0.50,0.13,0.09,0.03,0.11,0.00,1.19,5.33,4.12,0.54,2.60,1.80,38.00,11.00,3.50,3.00,248.00,15.00,0.05,0.14,0.10,0.00,*,1078.00,54.00,*,0.33,0.06,0.04,0.61,72.10,0.42,0.00,0.00,27.00,0.00
VERDURAS,Cie aaeo en vinagre,VEGETABLES,Cie aaeo in vinegar,,0.87,98.00,32.00,89.82,4.97,0.49,0.10,0.05,0.51,0.00,0.29,1.69,*,1.04,2.60,*,54.00,8.00,1.51,1671.00,193.00,15.00,0.76,3.28,0.11,0.00,*,1700.00,85.00,*,0.11,0.06,0.01,0.18,6.50,0.19,0.00,0.00,14.00,0.00
VERDURAS,Chile Largo,VEGETABLES,Chile Largo,Caicm,0.84,71.00,17.00,90.00,1.80,0.21,*,*,*,*,2.68,2.56,*,2.75,*,*,46.00,30.00,3.56,*,*,*,*,*,*,*,*,*,*,*,0.38,0.21,0.15,1.36,119.50,*,*,*,*,*
VERDURAS,"Chile Largo, en escabeche con emia conera",VEGETABLES,"Chile Largo, in pickling brine it ee reere",,0.84,142.00,34.00,82.20,4.10,0.67,*,*,*,*,0.87,7.32,*,4.84,*,*,41.00,*,0.44,*,*,*,*,*,*,*,*,*,*,*,0.08,0.07,0.03,0.36,14.80,*,*,*,*,*
VERDURAS,"Chile Morita, seco",VEGETABLES,"Chile Morita, dried",Caicm annm L abbreiatm in,0.84,1113.00,266.00,13.25,6.55,5.40,*,*,*,*,13.24,53.49,*,10.41,*,*,150.50,206.00,7.73,*,*,*,*,*,*,*,*,*,*,*,8.94,0.22,1.04,14.98,78.95,*,*,*,*,*
VERDURAS,"Chile Morita, adobado con emia conera",VEGETABLES,"Cie Morita marinate it seeds, preserve",,0.84,255.00,61.00,80.10,4.50,4.15,*,*,*,*,1.69,6.20,*,3.36,*,*,49.00,26.00,4.80,*,*,*,*,*,*,*,*,*,*,*,1.25,0.04,0.01,0.74,6.10,*,*,*,*,*
VERDURAS,Cie Morita emia,VEGETABLES,"Chile Morita, seed",Caicm annm L abbreiatm in,1.00,1343.00,321.00,8.45,3.75,18.30,*,*,*,*,16.95,36.30,*,17.95,*,*,87.00,455.00,5.60,*,*,*,*,*,*,*,*,*,*,*,0.51,0.55,0.67,13.53,26.40,*,*,*,*,*
VERDURAS,Chile Mulato,VEGETABLES,Chile Mulato,Caicm annm L rom Sent,0.68,1119.00,268.00,16.00,4.65,4.12,*,*,*,*,13.27,47.65,*,13.09,*,*,98.50,185.00,17.08,*,*,*,*,*,*,*,*,*,*,*,12.26,0.15,0.86,5.29,102.60,*,*,*,*,*
VERDURAS,"Chile Mulato, fresco",VEGETABLES,"Chile Mulato, fresh",Caicm annm L rom Sent,0.68,*,*,89.20,0.60,*,*,*,*,*,2.00,*,*,*,*,*,17.00,35.00,1.40,*,*,*,*,*,*,*,*,*,*,*,1.18,0.17,0.06,1.10,174.50,*,*,*,*,*
VERDURAS,Cie Mato emia,VEGETABLES,"Chile Mulato, seed",Caicm annm L rom Sent,0.68,1138.00,272.00,6.55,3.50,20.30,*,*,*,*,16.15,17.90,*,36.10,*,*,45.00,467.00,8.30,*,*,*,*,*,*,*,*,*,*,*,0.40,0.84,0.53,7.47,36.40,*,*,*,*,*
VERDURAS,Chile Pasilla,VEGETABLES,Chile Pasilla,Caicm annm L onm Sent,0.84,1343.00,321.00,14.30,5.95,19.00,*,*,*,0.00,12.67,35.32,*,12.68,26.80,*,105.00,158.00,6.30,89.00,2222.00,130.00,1.30,2.18,1.58,0.00,*,35760.00,1788.00,*,24.43,0.37,0.20,8.56,67.85,4.23,0.00,0.00,170.00,0.00
VERDURAS,Cie aia emia,VEGETABLES,"Chile Pasilla, seed",Caicm annm L onm Sent,1.00,1493.00,357.00,6.45,2.90,25.20,*,*,*,*,17.12,28.90,*,18.20,*,*,37.00,401.50,7.40,*,*,*,*,*,*,*,*,*,*,*,0.12,1.11,0.23,10.07,56.30,*,*,*,*,*
VERDURAS,Cie imiento in emia conera,VEGETABLES,"Cie e eer itot seeds, preserve",,1.00,81.00,19.50,94.00,0.35,0.48,0.05,0.02,0.16,0.00,0.94,3.83,*,0.74,1.20,*,31.00,16.00,1.47,1369.00,146.00,11.00,0.13,0.18,0.16,0.00,*,155.00,8.00,*,0.81,0.04,0.03,0.41,91.10,0.18,0.00,0.00,16.00,0.00
VERDURAS,Cie iín con emia,VEGETABLES,Cie ein it ee,Caicm rtecen L accam,1.00,911.00,218.00,9.75,3.83,16.85,*,*,*,*,13.34,24.35,*,36.80,38.00,34.20,164.33,292.00,14.69,*,*,*,1.43,2.85,*,*,*,*,*,*,4.50,0.44,0.37,14.50,18.70,*,*,*,*,*
VERDURAS,Chile Piquín Rojo,VEGETABLES,Chile Red Fresh Pequin,Caicm annm ar acminatm,1.00,623.00,149.00,55.00,2.20,6.80,*,*,*,*,5.90,16.10,*,14.00,*,*,*,*,*,*,*,*,*,*,*,0.05,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,Chile Piquín Verde,VEGETABLES,Chile Green Pequin,Caicm annm ar acminatm,1.00,213.00,51.00,80.20,1.70,1.30,*,*,*,*,2.90,7.00,*,6.90,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,"Chile Poblano, para rellenar",VEGETABLES,Cie obano or tfin,Caicm,0.80,140.00,33.50,87.23,0.73,0.30,*,*,*,*,1.66,8.56,1.90,1.46,*,*,14.50,32.67,3.30,*,*,*,0.79,2.33,*,*,*,*,*,*,0.94,*,0.06,1.18,216.50,*,*,*,*,*
VERDURAS,"Chile Poblano, cocido",VEGETABLES,"Chile Poblano, cooked",Caicm annm L rom Sent,0.80,*,*,*,*,*,*,*,*,*,*,*,*,*,3.70,2.60,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,"Chile Serrano, crudo",VEGETABLES,Cie Serrano ra,Caicm annm L acminatm in,0.95,142.00,34.00,87.50,0.75,0.42,0.06,0.02,0.22,0.00,2.35,7.18,1.50,1.50,5.60,5.40,34.50,44.00,2.40,10.00,305.00,22.00,0.80,1.82,*,*,*,937.00,47.00,*,0.50,0.14,0.06,1.33,65.90,0.51,0.00,*,23.00,0.00
VERDURAS,"Chile Serrano, en escabeche con emia conera",VEGETABLES,"Chile Serrano, in pickling brine it ee reere",,1.00,214.00,51.00,87.97,2.75,3.35,*,*,*,*,0.77,2.17,*,1.92,*,*,43.00,8.00,1.28,*,*,*,*,*,*,*,*,*,*,*,0.11,0.03,0.03,0.45,2.85,*,*,*,*,*
VERDURAS,Chile Tornachile,VEGETABLES,Chile Tornachile,Caicm,0.84,113.00,27.00,87.80,1.20,0.53,*,*,*,*,2.50,4.57,*,3.40,*,*,28.00,46.00,4.08,*,*,*,*,*,*,*,*,*,*,*,0.07,1.60,0.08,*,141.00,*,*,*,*,*
VERDURAS,Cie Tromito,VEGETABLES,Cie Tromito,Caicm annm L,0.84,138.00,33.00,88.40,0.80,0.34,*,*,*,*,1.62,7.50,*,1.34,*,*,42.00,31.00,3.60,*,*,*,*,*,*,*,*,*,*,*,0.71,0.09,0.07,1.20,320.00,*,*,*,*,*
VERDURAS,Chile Valenciano,VEGETABLES,Chile Valenciano,Caicm annm L,0.84,100.00,24.00,90.90,0.30,0.25,*,*,*,*,1.62,5.16,*,1.77,*,*,20.00,50.00,1.85,*,*,*,*,*,*,*,*,*,*,*,0.13,0.16,0.04,0.74,182.80,*,*,*,*,*
VERDURAS,Chivitos,VEGETABLES,Chivitos,orom cooratm C,,63.00,15.00,92.80,1.80,0.28,*,*,*,*,2.12,2.13,*,0.87,*,*,94.00,31.00,*,*,*,*,*,*,*,*,*,*,*,*,2.44,0.07,0.08,0.33,23.70,*,*,*,*,*
VERDURAS,Cilantro,VEGETABLES,Coriander,Corianrm atim L,0.70,100.00,24.00,89.45,1.70,0.34,0.01,0.28,0.04,0.00,2.59,4.72,1.70,*,4.20,3.80,107.50,45.50,2.26,46.00,521.00,26.00,1.12,4.74,0.43,0.04,*,1245.42,*,*,4.31,0.12,0.10,1.04,10.65,0.15,0.00,0.00,62.00,0.00
VERDURAS,"Ciruelo de Jundura, hoja",VEGETABLES,m Tree Mombin ea,Sonia mombin L,1.00,155.00,37.00,73.30,3.70,2.81,*,*,*,*,5.81,13.61,*,0.77,*,*,1096.00,62.00,18.60,*,*,*,*,*,*,*,*,*,*,*,7.00,0.06,0.29,1.13,69.80,*,*,*,*,*
VERDURAS,"Ciruelo, hojas",VEGETABLES,m Tree eae,Sonia mombin L,1.00,502.00,120.00,55.70,6.40,2.00,*,*,*,*,6.30,24.60,,5.00,*,*,*,*,*,*,*,*,*,*,*,*,*,876.18,*,*,*,*,*,2.37,*,*,*,*,*,*
VERDURAS,Co Aria Cocrote conserva,VEGETABLES,"Cabbage Choucroute, preserve",,1.00,71.00,17.00,88.85,2.80,0.31,*,*,*,*,0.62,4.88,,1.41,*,*,154.00,37.00,2.61,*,*,*,*,*,*,*,*,*,*,*,0.03,0.02,0.01,0.06,39.10,*,*,*,*,*
VERDURAS,Col Blanca,VEGETABLES,Cabbage White,Brassica oleracea L.v. capitata,1.00,92.00,22.00,90.80,0.55,0.14,0.03,0.02,0.02,0.00,2.32,4.34,2.90,0.77,2.50,*,37.50,42.00,1.38,18.00,170.00,12.00,0.02,0.18,0.16,0.00,*,76.59,5.00,*,0.14,0.11,0.06,0.60,37.85,0.12,0.00,0.00,43.00,0.00
VERDURAS,"Col Blanca, cocida",VEGETABLES,"Cabbage White, cooked",Brassica oleracea L.v. capitata,1.00,97.00,23.00,92.57,0.59,0.06,0.00,0.02,0.02,0.00,1.27,5.51,2.79,*,1.78,4.60,48.00,33.00,0.17,8.00,196.00,15.00,0.22,0.20,0.21,0.00,*,80.00,4.00,*,0.05,0.06,0.04,0.25,37.50,0.11,0.00,0.00,30.00,0.00
VERDURAS,"Col de Bruselas, cruda",VEGETABLES,"Cabbage Brussels, sprouts",Brassica oleracea L.var,1.00,242.00,58.00,79.30,1.20,0.42,0.06,0.02,0.15,0.00,3.37,12.91,2.20,2.80,3.80,*,53.00,84.00,4.11,25.00,389.00,23.00,0.07,0.42,0.34,0.00,*,754.00,38.00,*,0.36,0.18,0.12,0.96,139.40,0.22,0.00,0.00,61.00,0.00
VERDURAS,"Col Morada, cruda",VEGETABLES,Cabbage Purple,Brassica oleracea L. var.,0.72,113.00,27.00,89.95,0.80,0.21,0.02,0.01,0.08,0.00,2.81,5.13,3.83,1.11,2.10,*,32.50,39.00,1.56,27.00,243.00,16.00,0.02,0.22,0.24,0.00,*,33.30,*,*,0.02,0.14,0.06,0.37,58.90,0.21,0.00,0.00,18.00,0.00
VERDURAS,Coior,VEGETABLES,Caioer,Brassica oleracea L. v. botrytis,0.53,113.00,27.00,89.40,1.20,0.34,0.06,0.02,0.02,0.00,3.15,4.35,1.91,1.61,2.00,2.43,38.00,64.00,2.96,30.00,299.00,15.00,0.04,0.27,0.16,0.00,*,16.65,*,*,0.06,0.12,0.11,0.78,126.50,0.18,0.00,0.00,57.00,0.00
VERDURAS,Coior cocia,VEGETABLES,Caioer cooe,Brassica oleracea L. v. botrytis,1.00,96.00,23.00,93.00,0.60,0.45,0.07,0.03,0.22,0.00,1.84,4.11,2.08,*,2.02,1.50,16.00,32.00,0.32,15.00,142.00,9.00,0.66,3.79,0.13,0.00,*,12.00,1.00,*,0.01,0.04,0.05,0.41,44.30,0.17,0.00,0.00,44.00,0.00
VERDURAS,Coior era congelada,VEGETABLES,Caioer ear frozen,,,121.00,29.10,92.20,0.50,1.10,0.04,0.02,0.13,0.00,1.70,3.10,2.22,1.40,2.30,1.68,22.00,35.00,1.94,42.05,193.00,12.00,0.03,0.17,0.20,0.00,*,12.00,1.00,*,0.01,0.05,0.07,0.43,48.80,0.12,0.00,0.00,64.00,0.00
VERDURAS,Colinabo,VEGETABLES,Kohlrabi,raica cametri naobraica De Candolle,0.77,121.00,29.00,89.57,0.97,0.18,0.01,0.01,0.05,0.00,3.19,5.69,2.60,0.96,3.60,*,33.00,54.50,1.44,20.00,350.00,19.00,0.13,0.03,0.14,0.00,*,6.66,2.00,*,0.02,0.08,0.05,0.39,73.70,0.15,0.00,0.00,16.00,0.00
VERDURAS,Copalquelite,VEGETABLES,Copalquelite,,,*,*,86.20,*,*,*,*,*,*,*,*,*,*,*,*,453.02,74.55,3.07,4.92,1086.14,60.67,0.10,0.82,*,*,*,*,*,*,*,0.00,0.17,0.75,27.69,*,*,*,*,*
VERDURAS,Cren no berro,VEGETABLES,Cre Ra Cre not atercre,,,88.00,21.00,89.80,1.80,0.53,*,*,*,*,6.18,0.51,*,1.18,*,*,154.00,33.00,4.89,*,*,*,*,*,*,*,*,*,*,*,1.61,0.04,0.24,0.99,67.70,*,*,*,*,*
VERDURAS,Cruceta,VEGETABLES,Cruceta,,,67.00,16.00,94.30,0.40,0.25,*,*,*,*,1.06,3.30,*,0.69,*,*,78.00,19.00,5.80,*,*,*,*,*,*,*,*,*,*,*,0.20,0.09,0.03,0.44,2.40,*,*,*,*,*
VERDURAS,"Ejote, cocido",VEGETABLES,"Green Bean, cooked",Phaseolus vulgaris L.,0.90,147.00,35.00,89.22,0.73,0.28,0.06,0.01,0.15,0.00,1.89,7.88,1.55,*,3.60,2.70,44.00,29.00,0.65,1.00,146.00,18.00,0.79,3.02,0.29,0.00,*,700.00,35.00,*,0.42,0.07,0.10,0.61,9.70,0.06,0.00,0.00,33.00,0.00
VERDURAS,"Ejote, de alubia",VEGETABLES,"Green bean, kidney bean",Phaseolus vulgaris L.,0.90,138.00,33.00,90.30,0.30,0.13,*,*,*,*,2.06,6.16,*,1.05,*,*,68.00,44.00,1.25,*,*,*,*,*,*,*,*,*,*,*,0.04,0.08,0.10,0.46,23.80,*,*,*,*,*
VERDURAS,"Ejote, de cachibache",VEGETABLES,"Green Bean, cachibache",Phaseolus vulgaris var.,0.90,176.00,42.00,87.00,0.80,0.28,*,*,*,*,2.75,7.35,*,1.82,*,*,85.00,57.00,2.29,*,*,*,*,*,*,*,*,*,*,*,0.18,0.11,0.10,1.20,19.90,*,*,*,*,*
VERDURAS,Eote e een,VEGETABLES,"Green Bean, espelon",Phaseolus sp.,0.90,280.00,67.00,78.00,1.10,0.50,*,*,*,*,5.50,10.77,*,3.73,*,*,79.00,68.00,4.44,*,*,*,*,*,*,*,*,*,*,*,0.14,0.23,0.14,0.91,18.10,*,*,*,*,*
VERDURAS,"Ejote, de frijol",VEGETABLES,"Green Bean, bean",Phaseolus vulgaris L.,0.90,89.50,21.50,90.70,0.60,0.44,0.05,0.01,0.11,0.00,2.07,2.97,1.90,0.96,2.70,*,47.50,42.50,2.28,6.00,211.00,25.00,0.07,0.24,0.22,0.00,*,99.90,*,*,0.42,0.00,0.09,0.51,11.50,0.14,0.00,0.00,33.00,0.00
VERDURAS,"Ejote, sin hebra, conserva",VEGETABLES,"Green ean itot tendril, preserve",,1.00,540.00,129.00,62.30,1.70,0.64,0.04,0.01,0.09,0.00,2.31,28.50,1.25,4.55,1.50,*,54.00,27.00,0.49,192.00,92.00,13.00,0.04,0.36,0.21,0.00,*,321.00,16.00,*,0.29,0.05,0.04,0.36,8.40,0.03,0.00,0.00,26.00,0.00
VERDURAS,Elote,VEGETABLES,Corn,ea ma L,0.38,63.00,15.00,92.98,0.73,0.20,*,*,*,*,2.15,2.35,*,1.59,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.94,*,*,*,*,*,*
VERDURAS,Eote Amario,VEGETABLES,Corn eo,ea ma L,0.38,573.00,137.00,60.60,0.90,1.42,0.33,0.43,0.49,0.00,3.63,32.59,*,0.86,2.00,*,2.00,193.00,2.01,15.00,270.00,37.00,0.05,0.46,0.16,0.00,*,19.98,*,*,0.10,0.18,0.08,2.88,11.30,0.09,0.00,0.00,42.00,0.00
VERDURAS,Elote Blanco,VEGETABLES,Corn White,ea ma L,0.38,309.00,74.00,77.80,0.70,0.71,0.18,0.35,0.56,0.00,3.38,16.72,3.22,0.69,2.70,*,24.00,124.00,1.55,15.00,271.00,37.00,0.05,0.45,0.16,0.00,*,0.00,0.00,*,0.00,0.17,0.09,1.96,9.93,0.06,0.00,0.00,46.00,0.00
VERDURAS,"Elote, cocido",VEGETABLES,"Corn, cooked",ea ma L,0.38,401.00,96.00,73.41,0.71,1.50,0.19,0.37,0.60,0.00,3.41,20.98,4.54,*,4.70,4.60,77.00,0.45,1.00,218.00,26.00,*,0.34,2.10,0.17,0.00,*,263.00,13.00,*,0.07,0.09,0.06,1.68,5.50,0.14,0.00,0.00,23.00,0.00
VERDURAS,"Elote, cocido alcalino",VEGETABLES,"Corn, alkaline cooked",ea ma L,0.38,548.00,131.00,62.10,0.80,1.21,*,*,*,*,3.44,31.54,*,0.91,*,*,10.00,118.00,1.34,*,*,*,*,*,*,*,*,*,*,*,0.00,*,0.08,1.83,0.00,*,*,*,*,*
VERDURAS,"Elote, cocido con sal",VEGETABLES,Corn cooe it at,ea ma L,0.38,468.00,112.00,62.70,0.70,0.98,*,*,*,*,3.25,27.00,*,0.87,*,*,8.00,116.00,*,*,*,*,*,*,*,*,*,*,*,*,0.00,0.11,0.07,1.19,0.00,*,*,*,*,*
VERDURAS,"Elote, congelado",VEGETABLES,"Corn, niblets frozen",,,523.00,124.60,70.60,0.50,3.00,0.12,0.23,0.37,0.00,2.60,21.80,*,1.50,2.40,*,4.00,69.00,0.00,4.23,210.00,18.00,0.04,0.37,0.13,0.00,*,0.00,0.00,*,*,0.08,0.07,1.73,6.40,0.18,0.00,0.00,36.00,0.00
VERDURAS,"Elote, cortado congelado",VEGETABLES,"Corn, cut frozen",,,176.00,41.60,90.70,0.50,2.00,*,*,*,*,1.60,4.30,*,0.90,*,*,*,*,1.25,3.12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,Eote crema,VEGETABLES,Corn creme,,1.00,527.00,126.00,72.20,1.50,7.50,0.07,0.12,0.20,0.00,1.90,16.40,2.21,0.50,1.20,*,3.00,51.00,0.38,285.00,134.00,17.00,0.05,0.53,0.04,0.00,*,1.00,0.00,*,0.00,0.03,0.05,0.96,4.60,0.06,0.00,0.00,45.00,0.00
VERDURAS,"Elote, rebanado, conserva",VEGETABLES,"Corn, sliced, preserve",,1.00,167.00,40.00,87.90,0.40,0.12,0.16,0.22,0.42,0.00,1.37,10.00,3.04,0.21,2.90,2.80,9.00,27.00,1.43,186.00,138.00,13.00,1.21,1.44,0.11,0.00,*,45.00,2.00,*,0.00,0.01,0.01,0.43,1.60,0.07,0.00,0.00,35.00,0.00
VERDURAS,"Elote, tierno, conserva",VEGETABLES,"Corn, young, preserve",,1.00,335.00,80.00,77.00,1.10,0.84,*,*,*,*,1.26,19.60,*,0.20,*,*,9.00,38.00,3.04,*,*,*,*,*,*,*,*,*,*,*,0.00,0.04,0.02,0.35,1.40,*,*,*,*,*
VERDURAS,"Elote, entero, congelado",VEGETABLES,"Corn, on the cob, frozen",,,485.00,115.60,72.60,0.50,2.40,*,*,*,*,3.10,20.40,*,1.00,*,*,*,*,1.53,4.32,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
VERDURAS,Elote Pibil,VEGETABLES,Corn Pibil,,1.00,799.00,191.00,46.40,0.80,2.75,*,*,*,*,6.30,42.94,*,0.81,*,*,18.00,376.00,2.84,*,*,*,*,*,*,*,*,*,*,*,0.00,0.08,0.13,0.80,*,*,*,*,*,*
